name,type_of_source,pop,rock,indi,hiphop,metal,electronic,folk,blues,classical,jazz,country,disco,reggae
2517 - Подорожник. Вечерний Ургант. 12.03.2020.txt,Show,0,0,0,203,0,0,0,0,0,0,0,0,0
2Маши - Мама я танцую.txt,Show,237,0,0,0,0,0,0,0,0,0,0,0,0
8_Русская_Музыкальная_Премия_Телеканала_RU_TV.txt,Show,3302,0,0,445,0,0,0,0,0,0,0,0,0
ANIKV feat. SALUKI - Меня не будет. Вечерний Ургант. 21.05.2020.txt,Show,191,0,0,0,0,0,0,0,0,0,0,0,0
Apocalyptica – «Enter Sandman» (06.04.2018).txt,Show,0,0,0,0,202,0,0,0,0,0,0,0,0
ARTEMIEV – «В городе твоём» (09.04.2018).txt,Show,217,0,0,0,0,0,0,0,0,0,0,0,0
Artik & Asti - Девочка танцуй. Вечерний Ургант. 21.02.2020.txt,Show,250,0,0,0,0,0,0,0,0,0,0,0,0
Blue Man Group. 28.09.2018.txt,Show,0,197,0,0,0,0,0,0,0,0,0,0,0
BrainStorm feat. Сансара - К осени. Вечерний Ургант. 25.11.2019.txt,Show,213,0,0,0,0,0,0,0,0,0,0,0,0
Cream Soda - Никаких больше вечеринок. Вечерний Ургант. от 20.09.2019.txt,Show,0,0,0,0,0,216,0,0,0,0,0,0,0
Emin & Иван Ургант – Лучший город Земли. Вечерний Ургант. 14.04.2020.txt,Show,153,0,0,0,0,0,0,0,0,0,0,0,0
GONE.Fludd feat. IROH – ВКУС ЯДА. Вечерний Ургант. 10.06.2020.txt,Show,0,0,0,193,0,0,0,0,0,0,0,0,0
GONEFludd – Кубик льда Вечерний Ургант. 04.10.2018.txt,Show,0,0,0,136,0,0,0,0,0,0,0,0,0
IOWA - Пой. Вечерний Ургант. 16.05.2019.txt,Show,206,0,0,0,0,0,0,0,0,0,0,0,0
JONY - Ты беспощадна. Вечерний Ургант. 09.06.2020.txt,Show,235,0,0,0,0,0,0,0,0,0,0,0,0
Jukebox Trio - Немедленный танец. Вечерний Ургант. 22.10.2019.txt,Show,192,0,0,0,0,0,0,0,0,0,0,0,0
Kain Rivers - «Раненый зверь». Вечерний Ургант. 10.04.2019.txt,Show,191,0,0,0,0,0,0,0,0,0,0,0,0
Kate NV - Telefon. Вечерний Ургант. 30.06.2020.txt,Show,0,0,0,0,0,0,0,0,0,254,0,0,0
Little Big & Фрукты – Faradenza. Вечерний Ургант. (26.09.2018).txt,Show,0,0,0,0,0,149,0,0,0,0,0,0,0
LIZER - Корабли. Вечерний Ургант. 23.05.2019.txt,Show,0,0,0,183,0,0,0,0,0,0,0,0,0
LOBODA - Пуля-дура! Вечерний Ургант. 19.04.2019.txt,Show,209,0,0,0,0,0,0,0,0,0,0,0,0
Loqiemean - «Солнечная сторона». Вечерний Ургант. 19.03.2019.txt,Show,0,0,0,199,0,0,0,0,0,0,0,0,0
Manizha & Анна Чиповская с песней Black Swan. Вечерний Ургант. 01.02.2019.txt,Show,161,0,0,0,0,0,0,0,0,0,0,0,0
MANIZHA - VANYA. Вечерний Ургант. 30.01.2020.txt,Show,203,0,0,0,0,0,0,0,0,0,0,0,0
MARUV & Boosin – Drunk Groove. Вечерний Ургант. (08.11.2018).txt,Show,0,0,0,0,0,211,0,0,0,0,0,0,0
MARUV - To be mine. Вечерний Ургант. 08.11.2019.txt,Show,0,0,0,0,0,183,0,0,0,0,0,0,0
MATRANG струнный квартет Main strings и группа Фрукты - С самим собой. Вечерний Ургант.txt,Show,0,0,184,0,0,0,0,0,0,0,0,0,0
MDee.Плакала. Вечерний Ургант. 25.12.2019.txt,Show,178,0,0,0,0,0,0,0,0,0,0,0,0
Mgzavrebi - Vatman. Вечерний Ургант. 05.04.2019.txt,Show,245,0,0,0,0,0,0,0,0,0,0,0,0
Mgzavrebi - «Gala». Вечерний Ургант. (05.04.2018).txt,Show,206,0,0,0,0,0,0,0,0,0,0,0,0
Mot feat. Валерий Меладзе - «Сколько лет». Вечерний Ургант. 01.03.2019.txt,Show,222,0,0,0,0,0,0,0,0,0,0,0,0
NILETTO - Любимка. Вечерний Ургант. 17.12.2019.txt,Show,199,0,0,0,0,0,0,0,0,0,0,0,0
NOW UNITED и группа ФРУКТЫ – What Are We Waiting For Вечерний Ургант. (23.04.2018).txt,Show,223,0,0,0,0,0,0,0,0,0,0,0,0
Pompeya - 90. Вечерний Ургант. 11.11.2019.txt,Show,0,0,220,0,0,0,0,0,0,0,0,0,0
Race to Space – «Freefall» (11.04.2018).txt,Show,0,0,200,0,0,0,0,0,0,0,0,0,0
RASA - Пчеловод. Вечерний Ургант. 20.12.2019.txt,Show,196,0,0,0,0,0,0,0,0,0,0,0,0
RSAC x ELLA - NBA (Не мешай). Вечерний Ургант. 05.06.2019.txt,Show,0,0,137,0,0,0,0,0,0,0,0,0,0
Shortparis - «Страшно». Вечерний Ургант. 21.02.2019.txt,Show,0,268,0,0,0,0,0,0,0,0,0,0,0
Sirotkin - «Выше домов». Вечерний Ургант. 14.03.2019.txt,Show,0,0,277,0,0,0,0,0,0,0,0,0,0
Tesla Boy - Compromise. Вечерний Ургант. 17.04.2019.txt,Show,0,0,252,0,0,0,0,0,0,0,0,0,0
The Hatters – Не услышала. Вечерний Ургант. (13.11.2018).txt,Show,0,216,0,0,0,0,0,0,0,0,0,0,0
Thomas Mraz - Рандом. Вечерний Ургант. 08.10.2019.txt,Show,0,0,0,0,0,0,0,191,0,0,0,0,0
Vahtang - Время не ждет. Вечерний Ургант. 19.05.2020.txt,Show,218,0,0,0,0,0,0,0,0,0,0,0,0
YOURA - SPECKLASS. Вечерний Ургант. 10.06.2019.txt,Show,0,0,0,184,0,0,0,0,0,0,0,0,0
Zivert и NILETTO - Fly 2. Вечерний Ургант. 04.06.2020.txt,Show,199,0,0,0,0,0,0,0,0,0,0,0,0
Zivert и группа Фрукты - Life. Вечерний Ургант. 31.05.2019.txt,Show,0,0,0,0,0,220,0,0,0,0,0,0,0
ZolotoiGrammofon2019.txt,Show,5045,589,0,0,0,0,0,0,0,0,0,0,0
алёна швец. Одуванчик. Вечерний Ургант. 25.09.2019.txt,Show,0,0,183,0,0,0,0,0,0,0,0,0,0
Александр Иванов и группа Рондо - Боже какой пустяк. Вечерний Ургант.21.11.2019.txt,Show,0,262,0,0,0,0,0,0,0,0,0,0,0
АлоэВера - Чтобыцеловаться. Вечерний Ургант. 29.04.2020.txt,Show,0,0,208,0,0,0,0,0,0,0,0,0,0
Альянс - Навстречу холодному свету. Вечерний Ургант. 08.04.2020.txt,Show,0,0,266,0,0,0,0,0,0,0,0,0,0
Андрей Гризли и Элина Чага – «Алё». Вечерний Ургант. (14.12.2018).txt,Show,204,0,0,0,0,0,0,0,0,0,0,0,0
Анжелика Варум - Ля-ля-фа. Вечерний Ургант. 03.12.2019.txt,Show,261,0,0,0,0,0,0,0,0,0,0,0,0
Ани Лорак - «Сумасшедшая» (01.06.2018).txt,Show,211,0,0,0,0,0,0,0,0,0,0,0,0
Ансамбль Молодость - Вечная молодость. Вечерний Ургант. 18.06.2019.txt,Show,0,167,0,0,0,0,0,0,0,0,0,0,0
Ария - «Гонка за славой». Вечерний Ургант. 15.03.201.txt,Show,0,287,0,0,0,0,0,0,0,0,0,0,0
Артур Пирожков - Она решила сдаться. Вечерний Ургант. 11.10.2019.txt,Show,203,0,0,0,0,0,0,0,0,0,0,0,0
Баста - «Мои разбитые мечты». (13.04.2018).txt,Show,0,0,0,208,0,0,0,0,0,0,0,0,0
Би-2 - «Черное Солнце». Вечерний Ургант. 12.10.2018.txt,Show,0,281,0,0,0,0,0,0,0,0,0,0,0
Би-2 и симфонический оркестр Москвы Русская филармония - Философский камень. Вечерний Ургант.txt,Show,0,274,0,0,0,0,0,0,0,0,0,0,0
Валерия и Red Square Band - «Космос» (17.04.2018).txt,Show,190,0,0,0,0,0,0,0,0,0,0,0,0
Вера Брежнева - Хорошие новости. Вечерний Ургант. 26.06.2020.txt,Show,220,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант  Алсу и Баста – «Мы с тобой» (02.11.2018).txt,Show,0,0,0,233,0,0,0,0,0,0,0,0,0
Вечерний Ургант  Дайте танк (!) - «Я». 13.02.2019.txt,Show,0,0,211,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант BrainStorm – Контакты (22.11.2018).txt,Show,242,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант SunSay - «Снежно». 31.01.2019.txt,Show,215,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Swanky Tunes & LP - «Day by day». 28.12.2018.txt,Show,0,0,211,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Ёлка - «Где ты». 09.11.2018.txt,Show,198,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Ёлка Иван Ургант и группа «Фрукты» – Кленовый лист (29.10.2018).txt,Show,202,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Алёна Свиридова - «Травушка». (06.11.2018).txt,Show,254,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Александра Дурсенева – «Котлетки с Пюрешкой» (Enjoykin cover).txt,Show,0,0,0,0,0,0,0,0,118,0,0,0,0
Вечерний Ургант Арутюнов & Quorum – Piggy Pig Pig (08.10.2018).txt,Show,0,221,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Билли Новик - «Здравствуй черный понедельник». 28.01.2019.txt,Show,0,177,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Браво - «Любовь не горит». 16.11.2018.txt,Show,0,218,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Вера Брежнева - «Любите друг друга». 21.12.2018.txt,Show,224,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Группировка «Ленинград» – Антидепрессанты (07.12.2018).txt,Show,0,160,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Д Мацуев и А. Малофеев – Вариации на тему Паганини (26.04.2018).txt,Show,0,0,0,0,0,0,0,0,182,0,0,0,0
Вечерний Ургант Диана Арбенина «Ночные Снайперы» - «Катастрофически». 30.10.20.txt,Show,0,217,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Мельница – Голубая трава (19.11.2018).txt,Show,0,239,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Моя Мишель – «ХУ» (10.10.2018).txt,Show,187,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Николай Расторгуев и Иван Ургант - «Клетки-клетки». 20.02.2019.txt,Show,146,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Ногу свело! – Наши юные смешные голоса (28.11.2018).txt,Show,0,278,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Порнофильмы – Ритуалы (16.10.2018).txt,Show,0,223,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Сергей Лазарев - «Сдавайся».(11.06.2018).txt,Show,197,0,0,0,0,0,0,0,0,0,0,0,0
ВИА Татьяна - Калины цвет. Вечерний Ургант. 23.12.2019.txt,Show,162,0,0,0,0,0,0,0,0,0,0,0,0
Витя Исаев - Розовые очки. Вечерний Ургант. 25.06.2020.txt,Show,0,0,177,0,0,0,0,0,0,0,0,0,0
Владимир Пресняков - Достучаться до небес. Вечерний Ургант. 16.03.2020.txt,Show,229,0,0,0,0,0,0,0,0,0,0,0,0
ГлюкoZa - Заноза. Вечерний Ургант. 15.04.2020.txt,Show,216,0,0,0,0,0,0,0,0,0,0,0,0
Глюк’оZа feat. ST – «Жу-Жу» (25.05.2018). Вечерний Ургант.txt,Show,219,0,0,0,0,0,0,0,0,0,0,0,0
Государственный Омский Русский Народный Хор - Ведьмаку заплатите чеканной монетой. Вечерний Ургант.txt,Show,0,0,0,0,0,0,145,0,0,0,0,0,0
Группа Кино - В наших глазах. Вечерний Ургант. 02.07.2020.txt,Show,0,210,0,0,0,0,0,0,0,0,0,0,0
Группировка Ленинград - Компромисс. Вечерний Ургант. 27.12.2019.txt,Show,0,81,0,0,0,0,0,0,0,0,0,0,0
ГШ - «Симпатичный мужчина». Вечерний Ургант. 26.02.2019.txt,Show,0,258,0,0,0,0,0,0,0,0,0,0,0
Дельфин - J2000.0. Вечерний Ургант. 09.10.2019.txt,Show,0,0,200,0,0,0,0,0,0,0,0,0,0
Дельфин – «387». Вечерний Ургант. ( 20.11.2018).txt,Show,0,0,229,0,0,0,0,0,0,0,0,0,0
Диана Арбенина Ночные снайперы - Рингтоном. Вечерний Ургант. 06.06.2019.txt,Show,0,204,0,0,0,0,0,0,0,0,0,0,0
Дима Билан - Полуночное такси. Вечерний Ургант.01.11.2019.txt,Show,284,0,0,0,0,0,0,0,0,0,0,0,0
Димаш Кудайберген Игорь Крутой и группа Фрукты - Знай. Вечерний Ургант. 28.02.2020.txt,Show,344,0,0,0,0,0,0,0,0,0,0,0,0
Дмитрий Маликов Иван Ургант и группа Фрукты - Ты моей никогда не будешь. Вечерний Ургант.txt,Show,187,0,0,0,0,0,0,0,0,0,0,0,0
Дора - Дорадура. Вечерний Ургант. 05.03.2020.txt,Show,157,0,0,0,0,0,0,0,0,0,0,0,0
Ева Польна - Снег. Вечерний Ургант. 03.03.2020.txt,Show,229,0,0,0,0,0,0,0,0,0,0,0,0
Егор Крид - Love is. Вечерний Ургант. 06.12.2019.txt,Show,169,0,0,0,0,0,0,0,0,0,0,0,0
Егор Крид - Девочка с картинки. Вечерний Ургант. 29.05.2020.txt,Show,147,0,0,0,0,0,0,0,0,0,0,0,0
Елена Темникова – «Не модные» (08.06.2018).txt,Show,215,0,0,0,0,0,0,0,0,0,0,0,0
Звери - Котенок. Вечерний Ургант. 06.12.2019.txt,Show,0,191,0,0,0,0,0,0,0,0,0,0,0
Звонкий - Golosa. Вечерний Ургант. 29.05.2019.txt,Show,0,0,0,223,0,0,0,0,0,0,0,0,0
Иван Дорн – Опомнись. Вечерний Ургант. (12.11.2018).txt,Show,0,0,0,0,0,196,0,0,0,0,0,0,0
Калинов Мост – «Родная». Вечерний Ургант. (03.04.2018).txt,Show,0,211,0,0,0,0,0,0,0,0,0,0,0
Каста - Фотка. Вечерний Ургант. 26.12.2019.txt,Show,0,0,0,157,0,0,0,0,0,0,0,0,0
кис-кис - Молчи. Вечерний Ургант. 16.12.2019.txt,Show,0,198,0,0,0,0,0,0,0,0,0,0,0
КняZz - «Прыгну со скалы». Вечерний Ургант. (21.06.2018).txt,Show,0,207,0,0,0,0,0,0,0,0,0,0,0
Легендарная группа Альянс - На заре. Вечерний Ургант. 17.04.2019.txt,Show,0,321,0,0,0,0,0,0,0,0,0,0,0
Ленинград Центр - Lollipop. Вечерний Ургант. 19.06.2019.txt,Show,146,0,0,0,0,0,0,0,0,0,0,0,0
Лигалайз - Пылающий. Вечерний Ургант. 12.05.2020.txt,Show,0,0,0,260,0,0,0,0,0,0,0,0,0
ЛСП Feduk Егор Крид – Холостяк. Вечерний Ургант. (17.09.2018).txt,Show,188,0,0,0,0,0,0,0,0,0,0,0,0
Луна - Сиреневый рай. Вечерний Ургант. 04.10.2019.txt,Show,238,0,0,0,0,0,0,0,0,0,0,0,0
Макс Барских - «Неземная». Вечерний Ургант. 14.02.2019.txt,Show,218,0,0,0,0,0,0,0,0,0,0,0,0
Макс Барских - «Сделай громче». Вечерний Ургант. (22.05.2018).txt,Show,231,0,0,0,0,0,0,0,0,0,0,0,0
Мальбэк х Сюзанна - «Высота». Вечерний Ургант. 22.03.2019.txt,Show,196,0,0,0,0,0,0,0,0,0,0,0,0
Мари Краймбрери - Мне так хорошо. Вечерний Ургант. 31.10.2019.txt,Show,201,0,0,0,0,0,0,0,0,0,0,0,0
Маска»  Выпуск 1. Сезон 1  The Masked Singer.txt,Show,965,360,0,0,0,0,0,0,117,0,0,0,0
Маша и Медведи - Коля. Вечерний Ургант. 04.02.2020.txt,Show,0,221,0,0,0,0,0,0,0,0,0,0,0
Машина времени - Все корабли сегодня вернутся домой. Вечерний Ургант. 04.06.2019.txt,Show,0,182,0,0,0,0,0,0,0,0,0,0,0
Михаил Шуфутинский MOSKVIN DJ CHELL Иван Ургант Группа Фрукты и друзья - 3-е сентября..txt,Show,234,0,0,0,0,0,0,0,0,0,0,0,0
Монеточка - Падать в грязь. Вечерний Ургант. 17.05.2019.txt,Show,0,0,165,0,0,0,0,0,0,0,0,0,0
Монеточка – «Каждый раз». Вечерний Ургант. (28.05.2018).txt,Show,205,0,0,0,0,0,0,0,0,0,0,0,0
Мот - Парабола. Вечерний Ургант. 17.06.2020.txt,Show,193,0,0,0,0,0,0,0,0,0,0,0,0
Муся Тотибадзе - Мальчик. Вечерний Ургант. Фрагмент выпуска от 11.06.2019.txt,Show,0,0,210,0,0,0,0,0,0,0,0,0,0
Наадя – «Просто о сложном» (10.04.2018).txt,Show,0,0,203,0,0,0,0,0,0,0,0,0,0
Найк Борзов - Прозрачная. Вечерний Ургант. 16.06.2020.txt,Show,0,247,0,0,0,0,0,0,0,0,0,0,0
Наталья Подольская - «Выключи свет»(05.06.2018).txt,Show,268,0,0,0,0,0,0,0,0,0,0,0,0
Нервы - «Самый дорогой человек». Вечерний Ургант. 03.04.2019.txt,Show,0,209,0,0,0,0,0,0,0,0,0,0,0
Николай Носков - Снег. Вечерний Ургант. 29.11.2019.txt,Show,0,282,0,0,0,0,0,0,0,0,0,0,0
Новое Радио Awards (полная версия).txt,Show,3567,0,0,2267,0,751,0,0,0,0,0,0,0
Обе две - Капитан. Вечерний Ургант. 13.05.2019.txt,Show,225,0,0,0,0,0,0,0,0,0,0,0,0
Ольга Серябкина - Он не придет. Вечерний Ургант. 22.05.2020.txt,Show,162,0,0,0,0,0,0,0,0,0,0,0,0
Папин Олимпос - Весна. Вечерний Ургант. 26.05.2020.txt,Show,0,186,0,0,0,0,0,0,0,0,0,0,0
Пасош - «Отдых и развлечения» (полная версия). Вечерний Ургант. 26.03.2019.txt,Show,0,0,245,0,0,0,0,0,0,0,0,0,0
Петля Пристрастия - Цветок. Вечерний Ургант. 14.05.2019.txt,Show,0,270,0,0,0,0,0,0,0,0,0,0,0
Пикник - В руках великана. Вечерний Ургант. 01.10.2019.txt,Show,0,234,0,0,0,0,0,0,0,0,0,0,0
Р.А.Й. - Лето. Вечерний Ургант. 23.06.2020.txt,Show,0,0,0,0,0,214,0,0,0,0,0,0,0
Сабрина - Хороша. Вечерний Ургант. 03.06.2020.txt,Show,180,0,0,0,0,0,0,0,0,0,0,0,0
Самое Большое Простое Число (СБПЧ) – «Провал». Вечерний Ургант. (04.06.2018).txt,Show,0,0,218,0,0,0,0,0,0,0,0,0,0
Самое Большое Простое Число - Злой. Вечерний Ургант. 14.10.2019.txt,Show,0,0,204,0,0,0,0,0,0,0,0,0,0
Сергей Пенкин и группа Фрукты - Лето. Вечерний Ургант. 03.01.2020.txt,Show,117,0,0,0,0,0,0,0,0,0,0,0,0
Симфоническое Кино - Группа крови. Вечерний Ургант. 20.06.2019.txt,Show,0,0,0,0,0,0,0,0,253,0,0,0,0
Смоки Мо - Тишина. Вечерний Ургант. 02.12.2019.txt,Show,0,0,0,203,0,0,0,0,0,0,0,0,0
Спасибо - Считалочка. Вечерний Ургант. 18.06.2020.txt,Show,0,218,0,0,0,0,0,0,0,0,0,0,0
Сплин - «Когда пройдет 100 лет». Вечерний Ургант. 29.03.2019.txt,Show,0,0,206,0,0,0,0,0,0,0,0,0,0
Сурганова и оркестр - Река. Вечерний Ургант. 04.03.2020.txt,Show,0,244,0,0,0,0,0,0,0,0,0,0,0
Тима Белорусских и группа Фрукты - Одуванчик. Вечерний Ургант. 07.02.2020.txt,Show,176,0,0,0,0,0,0,0,0,0,0,0,0
Тима Белорусских и группа ФРУКТЫ – Мокрые кроссы. Вечерний Ургант. (03.12.2018).txt,Show,193,0,0,0,0,0,0,0,0,0,0,0,0
ТиматиДжиганДаняМилохин.txt,Show,0,0,0,184,0,0,0,0,0,0,0,0,0
Тимур Родригез и Григорий Лепс - Спасибо. Вечерний Ургант. 27.03.2020.txt,Show,248,0,0,0,0,0,0,0,0,0,0,0,0
Увула - Электрический ток. Вечерний Ургант. 31.03.2020.txt,Show,0,214,0,0,0,0,0,0,0,0,0,0,0
Френдзона - Секрет. Вечерний Ургант. 01.06.2020.txt,Show,213,0,0,0,0,0,0,0,0,0,0,0,0
Хадн дадн - Храмомама. Вечерний Ургант. 10.03.2020.txt,Show,259,0,0,0,0,0,0,0,0,0,0,0,0
ХЛЕБ - Поц и Лаваца. Вечерний Ургант. 16.10.2019.txt,Show,155,0,0,0,0,0,0,0,0,0,0,0,0
Шарлот - Щека на щеку. Вечерний Ургант. 02.10.2019.txt,Show,134,0,0,0,0,0,0,0,0,0,0,0,0
Эрика Лундмоен - Милая. Вечерний Ургант. 25.03.2020.txt,Show,0,0,196,0,0,0,0,0,0,0,0,0,0
Юлианна Караулова - Ариведерчи. Вечерний Ургант. 24.04.2019.txt,Show,177,0,0,0,0,0,0,0,0,0,0,0,0
eurovision_finale.txt,Contest,1273,0,0,168,0,0,174,0,0,0,0,185,0
Ну-ка все вместе!» Звездный гость - Ева Польна  Выпуск 6. Сезон 2  All Together Now.txt,Contest,1052,0,0,0,0,122,0,118,0,0,0,0,0
Ну-ка все вместе!» Звездный гость - Юлия Савичева  Выпуск 2. Сезон 2  All Together Now.txt,Contest,964,232,0,0,0,0,0,0,0,0,0,0,110
Ну_ка_все_вместе!»_Звездный_гость_Диана_Арбенина_1_Выпуск_Сезон.txt,Contest,1190,0,0,0,0,0,0,0,0,0,0,0,0
Ты_супер!_Суперсезон_Выпуск_№1.txt,Contest,1135,0,0,0,0,0,0,0,0,0,0,0,0
Ты_супер!_Суперсезон_Выпуск_№2.txt,Contest,1097,0,0,135,0,0,0,0,0,0,0,0,0
eurovision.txt,Contest,1236,242,0,718,0,0,0,0,0,0,0,0,0
agutin.txt,Concert,1534,0,0,0,0,0,0,201,0,0,1400,0,0
astudio.txt,Concert,1491,447,0,182,0,0,0,0,0,0,99,218,0
burito.txt,Concert,1128,319,0,173,0,372,0,0,0,0,0,0,193
chumakov.txt,Concert,2399,0,0,0,0,0,0,60,0,0,0,0,0
coincidence_answ.txt,Concert,0,1067,0,0,0,0,0,0,0,0,833,0,0
grot.txt,Concert,0,0,0,2089,0,0,0,0,0,0,0,0,0
high_laurie.txt,Concert,0,1950,0,0,0,0,0,1228,0,0,0,0,0
kipelov.txt,Concert,0,1063,0,0,2112,0,196,0,0,0,0,0,0
mot.txt,Concert,0,0,0,2036,0,0,0,362,0,0,0,0,0
nerves.txt,Concert,0,2186,0,0,0,0,0,0,0,0,0,0,0
new_year.txt,Concert,2482,5008,449,525,182,0,1377,725,279,0,0,0,381
rasteryaev.txt,Concert,0,159,0,0,0,0,2028,0,0,0,0,0,0
shoua.txt,Concert,2315,0,0,0,0,0,0,0,0,0,0,0,0
st.txt,Concert,229,0,0,2056,0,0,0,0,0,0,0,0,0
trofim.txt,Concert,1563,0,0,0,0,0,0,381,0,0,0,0,163
